,tconst,averagerating,numvotes
5250,tt2941856,54,198
5251,tt2943024,71,93
5252,tt2944510,61,9
5253,tt2944980,49,47
5254,tt2946508,48,218
5255,tt2948530,45,396
5256,tt2950680,65,219
5257,tt2952490,70,91
5258,tt2956666,52,124
5259,tt2961230,60,5
5260,tt2963312,81,19
5261,tt2964666,79,7
5262,tt2966696,73,137
5263,tt2969484,65,49
5264,tt2972982,40,215
5265,tt2974104,73,7
5266,tt2976766,64,52
5267,tt2979302,64,61
5268,tt2979398,82,5
5269,tt2980472,64,16578
5270,tt2982532,66,28
5271,tt2984080,64,10
5272,tt3000950,56,16
5273,tt3002578,60,719
5274,tt3003800,63,1230
5275,tt3007132,54,4204
5276,tt3009468,37,9
5277,tt3009772,69,14
5278,tt3012526,58,32
5279,tt3014600,71,263
5280,tt3019098,57,6
5281,tt3020986,83,43
5282,tt3027644,53,772
5283,tt3027716,51,741
5284,tt3028412,63,546
5285,tt3029626,67,206
5286,tt3030714,71,106
5287,tt3032300,62,734
5288,tt3033578,47,41
5289,tt3035836,58,19
5290,tt3037588,81,26
5291,tt3038808,38,85
5292,tt3039378,21,379
5293,tt3054776,56,443
5294,tt3054858,54,45
5295,tt3058212,47,27
5296,tt3058674,52,1514
5297,tt3059304,48,185
5298,tt3059656,76,1333
5299,tt3059954,52,9
5300,tt3060650,76,31
5301,tt3061222,50,541
5302,tt3061276,52,9
5303,tt3061594,59,97
5304,tt3062620,63,58
5305,tt3062742,60,1123
5306,tt3062880,77,5535
5307,tt3067166,86,20
5308,tt3068932,70,18
5309,tt3072110,35,130
5310,tt3073884,69,36
5311,tt3075574,50,56
5312,tt3075596,56,221
5313,tt3077202,65,48
5314,tt3085348,79,29
5315,tt3088516,72,25
5316,tt3088670,83,6
5317,tt3095070,68,84
5318,tt3097020,69,17
5319,tt3097876,66,113
5320,tt3098534,64,5
5321,tt3102458,66,576
5322,tt3103334,62,91
5323,tt3104622,74,8
5324,tt3105366,49,18
5325,tt3105468,60,8
5326,tt3105846,83,49
5327,tt3106868,69,837
5328,tt3108988,54,13
5329,tt3114432,43,307
5330,tt3121650,70,10
5331,tt3124398,59,199
5332,tt3124738,63,84
5333,tt3130336,70,41
5334,tt3132422,32,508
5335,tt3133722,45,630
5336,tt3134580,64,5
5337,tt3138016,49,12
5338,tt3143714,51,27
5339,tt3153648,76,16
5340,tt3169676,35,8
5341,tt3171886,63,1825
5342,tt3174052,47,21
5343,tt3175038,65,14556
5344,tt3180122,90,82
5345,tt3185692,61,36
5346,tt3186122,78,26
5347,tt3196668,76,9
5348,tt3196692,27,118
5349,tt3197174,65,22
5350,tt3202352,83,25
5351,tt3206074,48,178
5352,tt3210602,54,443
5353,tt3213566,78,25
5354,tt3213890,83,6
5355,tt3214108,51,64
5356,tt3214502,77,7
5357,tt3223620,93,25
5358,tt3225948,81,11
5359,tt3230920,64,699
5360,tt3232156,72,1091
5361,tt3236578,50,13
5362,tt3239618,71,36
5363,tt3243464,56,503
5364,tt3243876,63,7
5365,tt3251284,52,56
5366,tt3254040,84,26
5367,tt3257582,55,907
5368,tt3257638,60,385
5369,tt3262376,36,8
5370,tt3266942,44,23
5371,tt3266948,51,1046
5372,tt3267258,60,180
5373,tt3268034,74,238
5374,tt3269532,72,8
5375,tt3271120,56,718
5376,tt3271314,61,84
5377,tt3272298,83,38
5378,tt3274484,82,1287
5379,tt3275362,50,22
5380,tt3276852,73,104
5381,tt3288508,59,173
5382,tt3290338,81,47
5383,tt3294340,64,70
5384,tt3294664,41,179
5385,tt3295256,90,7
5386,tt3308358,60,81
5387,tt3309844,47,86
5388,tt3311058,45,13
5389,tt3312546,64,54
5390,tt3312888,68,25
5391,tt3313182,50,465
5392,tt3313360,62,86
5393,tt3314144,53,54
5394,tt3315380,51,1584
5395,tt3316048,74,9
5396,tt3316832,35,21
5397,tt3317710,72,25
5398,tt3317762,48,381
5399,tt3317942,58,27
5400,tt3321428,54,3475
5401,tt3322892,46,9732
5402,tt3323588,34,146
5403,tt3323638,41,944
5404,tt3324672,76,37
5405,tt3324952,63,19
5406,tt3326106,73,15
5407,tt3326880,50,838
5408,tt3328056,93,47
5409,tt3328290,88,6
5410,tt3331866,45,6
5411,tt3332704,83,6
5412,tt3333968,61,210
5413,tt3337188,61,80
5414,tt3337236,64,7
5415,tt3338268,41,449
5416,tt3341088,46,49
5417,tt3344922,64,3797
5418,tt3344928,63,777
5419,tt3350452,84,72
5420,tt3354376,80,5
5421,tt3361186,23,337
5422,tt3361644,64,37
5423,tt3375076,61,10
5424,tt3375104,41,52
5425,tt3377890,77,27
5426,tt3380060,67,29
5427,tt3390550,54,873
5428,tt3391436,80,5
5429,tt3393314,38,6
5430,tt3393422,72,12
5431,tt3393510,84,8
5432,tt3396820,45,80
5433,tt3400058,37,297
5434,tt3404234,70,180
5435,tt3405714,59,4500
5436,tt3407394,90,7
5437,tt3407562,48,136
5438,tt3410666,84,57
5439,tt3414274,55,189
5440,tt3417920,76,14
5441,tt3418898,74,5
5442,tt3420848,61,147
5443,tt3424690,49,3194
5444,tt3425178,77,7
5445,tt3426866,81,9
5446,tt3429758,54,33
5447,tt3430006,45,13
5448,tt3431598,71,591
5449,tt3433622,57,123
5450,tt3437354,65,367
5451,tt3437472,69,16
5452,tt3438802,74,90
5453,tt3439694,81,14
5454,tt3442006,64,33065
5455,tt3444018,74,26
5456,tt3446906,56,390
5457,tt3447462,75,10
5458,tt3449006,52,1294
5459,tt3454574,65,2665
5460,tt3455108,76,8
5461,tt3455384,55,21
5462,tt3456464,48,129
5463,tt3458760,57,1687
5464,tt3460922,65,73
5465,tt3462880,43,106
5466,tt3465488,30,108
5467,tt3471022,71,25
5468,tt3472210,70,61
5469,tt3472714,46,601
5470,tt3472892,51,2358
5471,tt3475020,50,308
5472,tt3477554,62,2032
5473,tt3479250,70,436
5474,tt3479552,65,15
5475,tt3500258,60,95
5476,tt3501112,57,13376
5477,tt3501924,63,48
5478,tt3502404,73,66
5479,tt3503410,48,17
5480,tt3511262,83,24
5481,tt3511510,70,61
5482,tt3512976,77,19
5483,tt3513824,73,62
5484,tt3515892,67,66
5485,tt3518988,73,2092
5486,tt3519952,71,18
5487,tt3522738,66,378
5488,tt3526500,49,487
5489,tt3531586,34,38
5490,tt3541704,73,19
5491,tt3541998,72,22
5492,tt3543360,32,20
5493,tt3543838,69,9
5494,tt3544014,64,1286
5495,tt3546464,65,13
5496,tt3547106,69,236
5497,tt3550136,53,6
5498,tt3552254,72,350
5499,tt3552638,65,520
5500,tt3557464,71,1692
5501,tt3561468,90,6
5502,tt3565136,66,79
5503,tt3565148,67,71
5504,tt3567400,74,5
5505,tt3567806,61,74
5506,tt3568804,61,379
5507,tt3569014,61,74
5508,tt3573140,53,196
5509,tt3573196,68,301
5510,tt3573354,51,94
5511,tt3578894,47,15
5512,tt3579524,73,2108
5513,tt3581478,46,484
5514,tt3582678,57,127
5515,tt3583736,73,30
5516,tt3585758,65,13
5517,tt3586100,67,69
5518,tt3594826,55,1299
5519,tt3595744,72,8
5520,tt3601278,53,21
5521,tt3606752,68,59408
5522,tt3607034,54,13
5523,tt3607086,83,10
5524,tt3608646,56,1812
5525,tt3609728,79,29
5526,tt3610732,55,22
5527,tt3613084,71,7
5528,tt3613744,66,11
5529,tt3617996,44,294
5530,tt3621360,61,404
5531,tt3625354,57,150
5532,tt3626906,88,9
5533,tt3630108,72,5
5534,tt3631306,76,9
5535,tt3633594,56,34
5536,tt6508770,55,35
5537,tt6512784,42,932
5538,tt6513120,72,26704
5539,tt6525038,27,17
5540,tt6538400,76,23
5541,tt6544376,77,45
5542,tt6545160,70,459
5543,tt6554744,55,73
5544,tt6559642,62,488
5545,tt6561494,81,14
5546,tt6565702,60,24451
5547,tt6566624,67,443
5548,tt6568390,68,5
5549,tt6580708,82,62
5550,tt6582966,71,7
5551,tt6591520,46,171
5552,tt6604334,51,59
5553,tt6606216,77,15
5554,tt6608976,45,95
5555,tt6609412,57,21
5556,tt6619540,66,7
5557,tt6628386,34,127
5558,tt6641582,39,19
5559,tt6648448,71,8
5560,tt6671244,64,229
5561,tt6671304,52,6
5562,tt6671574,76,9
5563,tt6675400,45,465
5564,tt6684714,52,7976
5565,tt6685596,56,562
5566,tt6690218,57,15
5567,tt6690234,61,1098
5568,tt6700004,41,17
5569,tt6704328,73,7
5570,tt6721132,59,123
5571,tt6733404,95,15
5572,tt6733474,70,102
5573,tt6734866,88,6
5574,tt6773742,73,23
5575,tt6774092,61,1858
5576,tt6794770,89,8
5577,tt6798422,76,414
5578,tt6798460,79,14
5579,tt6800926,68,5
5580,tt6802206,38,17
5581,tt6810146,66,42
5582,tt6813892,52,34
5583,tt6814098,84,5
5584,tt6814636,73,10
5585,tt6831724,50,323
5586,tt6840738,74,69
5587,tt6844052,76,209
5588,tt6846134,83,66
5589,tt6846632,67,27
5590,tt6846664,89,325
5591,tt6855798,92,18
5592,tt6857300,51,46
5593,tt6857956,60,476
5594,tt6864952,88,30
5595,tt6869538,63,1588
5596,tt6870632,38,6
5597,tt6880058,15,848
5598,tt6892340,62,942
5599,tt6896442,91,8
5600,tt6898474,94,9
5601,tt6902510,40,59
5602,tt6909664,66,16
5603,tt6919950,73,31
5604,tt6947692,94,11
5605,tt6950446,68,66
5606,tt6952782,64,66
5607,tt6964088,61,12
5608,tt6969814,30,53
5609,tt6981052,68,80
5610,tt6984732,72,16
5611,tt6992120,85,6
5612,tt6998222,58,120
5613,tt6998762,43,7
5614,tt7010412,76,2252
5615,tt7017366,72,5
5616,tt7021758,72,87
5617,tt7022402,70,386
5618,tt7025812,59,111
5619,tt7026918,83,9
5620,tt7029854,46,1396
5621,tt7030370,62,6
5622,tt7037544,64,142
5623,tt7046112,58,105
5624,tt7051624,57,262
5625,tt7053158,54,45
5626,tt7064766,66,602
5627,tt7080686,66,265
5628,tt7084614,45,161
5629,tt7084980,67,14
5630,tt7092594,82,5
5631,tt7102844,58,11
5632,tt7121252,74,4723
5633,tt7131752,83,71
5634,tt7131848,56,38
5635,tt7134690,80,13
5636,tt7143958,78,13
5637,tt7149258,52,10
5638,tt7165426,66,177
5639,tt7172308,72,409
5640,tt7177896,82,5
5641,tt7201192,42,38
5642,tt7212992,72,14
5643,tt7222304,40,70
5644,tt7228086,73,40
5645,tt7229056,29,18
5646,tt7230016,81,10
5647,tt7231342,73,708
5648,tt7235958,65,35
5649,tt7238328,71,7
5650,tt7241484,66,60
5651,tt7242142,74,17165
5652,tt7263850,24,5
5653,tt7275984,84,9
5654,tt7277680,68,379
5655,tt7288846,59,12
5656,tt7290724,72,6
5657,tt7294778,65,112
5658,tt7311634,78,190
5659,tt7314630,80,83
5660,tt7317342,70,20
5661,tt7318290,85,176
5662,tt7320560,82,1842
5663,tt7320910,63,13
5664,tt7331606,85,6
5665,tt7336008,87,6
5666,tt7339792,58,1427
5667,tt7343488,73,77
5668,tt7345930,77,4273
5669,tt7346014,69,9
5670,tt7350768,91,15
5671,tt7368464,60,25
5672,tt7373230,87,9
5673,tt7373746,74,21
5674,tt7376292,61,15
5675,tt7378164,61,30
5676,tt7385836,34,84
5677,tt7390054,57,21
5678,tt7390216,72,189
5679,tt7390222,61,154
5680,tt7392028,56,7
5681,tt7403570,55,377
5682,tt7412508,49,25
5683,tt7416602,73,63
5684,tt7422790,56,534
5685,tt7423004,81,13
5686,tt7428390,92,86
5687,tt7428942,56,16
5688,tt7434402,38,94
5689,tt7435262,74,5
5690,tt7435360,77,9
5691,tt7436428,55,27
5692,tt7440400,58,125
5693,tt7441338,77,39
5694,tt7449212,79,7
5695,tt7457162,78,13
5696,tt7467332,69,15
5697,tt7470904,59,11
5698,tt7475952,62,51
5699,tt7478522,53,31
5700,tt7488654,71,81
5701,tt7491398,62,133
5702,tt7502256,51,221
5703,tt7507466,69,20
5704,tt7509538,70,22
5705,tt7510284,77,151
5706,tt7517054,50,337
5707,tt7519174,73,1431
5708,tt7521370,47,21
5709,tt7521504,61,28
5710,tt7522002,58,419
5711,tt7526686,78,40
5712,tt7539190,64,96
5713,tt7547158,86,463
5714,tt7547768,65,83
5715,tt7548328,57,127
5716,tt7549874,65,23
5717,tt7550576,76,54
5718,tt7552842,84,23
5719,tt7558572,70,18
5720,tt7560964,73,1563
5721,tt7564044,71,80
5722,tt7573428,68,14
5723,tt7573790,80,10
5724,tt7575440,55,219
5725,tt7581902,71,16318
5726,tt7582778,65,66
5727,tt7585614,64,46
5728,tt7592928,67,23
5729,tt7607414,73,188
5730,tt7609180,65,414
5731,tt7633170,68,8
5732,tt7634654,24,193
5733,tt7640230,77,10
5734,tt7645780,55,267
5735,tt7650360,91,21
5736,tt7654710,62,22
5737,tt7655266,58,5
5738,tt7666250,73,514
5739,tt7671884,88,5
5740,tt7676066,55,26
5741,tt7676138,59,172
5742,tt7676212,80,24
5743,tt7682382,59,115
5744,tt7683842,78,34
5745,tt7689484,74,267
5746,tt7696448,86,9
5747,tt7712736,67,145
5748,tt7722484,40,23
5749,tt7730528,73,7
5750,tt7746496,68,5
5751,tt7754564,72,157
5752,tt7756494,49,434
5753,tt7763956,70,6
5754,tt7774888,37,7
5755,tt7777196,53,1842
5756,tt7783966,66,687
5757,tt7797962,68,40
5758,tt7808216,59,54
5759,tt7808528,92,26
5760,tt7820846,30,1656
5761,tt7822454,63,40
5762,tt7836584,60,5
5763,tt7839074,74,8
5764,tt7844166,62,1525
5765,tt7853312,48,10
5766,tt7857914,60,29
5767,tt7862842,64,23
5768,tt7871358,42,44
5769,tt7875604,63,130
5770,tt7878846,64,520
5771,tt7881364,30,47
5772,tt7886846,59,375
5773,tt7897306,67,883
5774,tt7938444,52,560
5775,tt7940914,43,15
5776,tt7943040,72,359
5777,tt7945396,66,62
5778,tt7946422,61,8618
5779,tt7946644,69,309
5780,tt7953568,66,16
5781,tt7957314,68,58
5782,tt7969140,39,171
5783,tt7971388,91,34
5784,tt7977036,77,13
5785,tt7981444,54,18
5786,tt7997292,69,15
5787,tt8006508,80,7
5788,tt8016500,56,103
5789,tt8027322,66,3887
5790,tt8038150,74,74
5791,tt8054150,63,944
5792,tt8054238,65,6
5793,tt8060472,76,7
5794,tt8081062,13,3244
5795,tt8085616,63,100
5796,tt8092252,75,2190
5797,tt8108278,63,202
5798,tt8110966,38,135
5799,tt8123784,85,10
5800,tt8132700,65,5183
5801,tt8142712,67,161
5802,tt8144850,65,177
5803,tt8156742,67,194
5804,tt8161166,71,598
5805,tt8174250,82,5
5806,tt8176308,48,18
5807,tt8176312,62,6
5808,tt8176558,35,49
5809,tt8183594,53,517
5810,tt8193744,42,35
5811,tt8194128,68,8
5812,tt8198684,76,38
5813,tt8201404,68,440
5814,tt8210704,52,6
5815,tt8237888,66,45
5816,tt8241160,80,5
5817,tt8243286,72,23
5818,tt8269490,75,56
5819,tt8269586,82,6
5820,tt8286926,77,1593
5821,tt8302982,72,30
5822,tt8307082,69,1878
5823,tt8308780,66,12
5824,tt8312694,64,14
5825,tt8318702,80,8
5826,tt8325376,59,31
5827,tt8328740,69,251
5828,tt8329698,73,7
5829,tt8338754,70,134
5830,tt8351452,55,102
5831,tt8364446,63,9
5832,tt8373650,83,6
5833,tt8396246,58,6
5834,tt8446174,82,10
5835,tt8447750,63,16
5836,tt8450662,73,22
5837,tt8478098,63,25
5838,tt8485772,75,33
5839,tt8491220,43,7
5840,tt8497278,90,29
5841,tt8505838,56,33
5842,tt8515750,46,244
5843,tt8521458,77,19
5844,tt8535954,19,66
5845,tt8559006,82,63
5846,tt8565278,18,11
5847,tt8634328,74,125
5848,tt8649224,51,10
5849,tt8650146,71,8
5850,tt8653804,12,21
5851,tt8657468,43,432
5852,tt8660788,64,163
5853,tt8661570,59,7
5854,tt8662424,57,67
5855,tt8665364,75,10
5856,tt8669070,74,312
5857,tt8671138,51,19
5858,tt8678108,46,95
5859,tt8688024,28,26
5860,tt8722252,42,370
5861,tt8747596,70,326
5862,tt8767808,65,59
5863,tt8787116,54,223
5864,tt8800806,88,13
5865,tt8811136,45,14
5866,tt8816194,72,31
5867,tt8816388,57,7
5868,tt8819192,70,9
5869,tt8852302,44,29
5870,tt8861786,44,88
5871,tt8873624,58,12
5872,tt8887736,46,23
5873,tt8892660,57,136
5874,tt8898812,57,64
5875,tt8900142,67,84
5876,tt8903524,82,5
5877,tt8905022,69,130
5878,tt8937100,91,9
5879,tt8937428,92,24
5880,tt8959742,20,65
5881,tt8961624,70,47
5882,tt8972488,77,30
5883,tt8972568,68,79
5884,tt8982034,64,5
5885,tt8986906,98,45
5886,tt9028138,56,18
5887,tt9032888,56,1166
5888,tt9044128,59,520
5889,tt9048026,67,87
5890,tt9048596,91,14
5891,tt9049340,60,12
5892,tt9063518,71,43
5893,tt9064028,89,67
5894,tt9064614,58,17
5895,tt9071066,73,47
5896,tt9072728,90,11
5897,tt9110380,83,84
5898,tt9187910,82,5
5899,tt9194246,69,268
5900,tt9227182,51,379
5901,tt9236264,64,22
5902,tt9255718,67,10
5903,tt9261416,91,7
5904,tt9555284,41,328
5905,tt9557190,62,192
5906,tt9581172,71,146
5907,tt9592190,74,8
5908,tt9617710,75,128
5909,tt9617712,78,6
5910,tt9627240,57,7
5911,tt9670776,80,9
5912,tt9670894,69,10
5913,tt9681728,66,34
5914,tt9701558,81,12
5915,tt9789404,83,9
5916,tt9793334,73,423
5917,tt9839040,49,51
5918,tt9861204,78,8
5919,tt9875554,52,6
5920,tt9881616,72,17
5921,tt9910930,61,7
5922,tt1075747,47,51860
5923,tt1080019,53,840
5924,tt1084722,89,8
5925,tt1109624,72,84679
5926,tt1111235,46,77
5927,tt1111884,44,18
5928,tt1114731,39,105
5929,tt1121986,44,478
5930,tt1160371,47,27
5931,tt1170380,58,25
5932,tt1186357,61,972
5933,tt1189006,43,604
5934,tt1190072,63,1374
5935,tt1193473,34,316
5936,tt1196124,34,625
5937,tt1206483,51,345
5938,tt1217059,39,208
5939,tt1217209,71,338728
5940,tt1222698,54,728
5941,tt1233332,88,20
5942,tt1234654,61,33702
5943,tt1264115,55,1243
5944,tt1265990,49,33062
5945,tt1270842,64,10226
5946,tt1273236,60,181
5947,tt1273803,66,186
5948,tt1280725,54,172
5949,tt1288411,61,203
5950,tt1290082,63,499
5951,tt1291566,69,7339
5952,tt1305008,33,370
5953,tt1307976,47,39
5954,tt1308747,82,29
5955,tt1314170,43,756
5956,tt1318029,67,895
5957,tt1322302,70,1110
5958,tt1327699,53,68
5959,tt1330229,61,588
5960,tt1334102,53,24903
5961,tt1334470,54,3847
5962,tt1334514,55,231
5963,tt1336617,63,32457
5964,tt1336998,57,97
5965,tt1337180,62,13
5966,tt1356415,43,71
5967,tt1365458,85,39
5968,tt1368870,46,903
5969,tt1369706,56,38287
5970,tt1371585,70,1885
5971,tt1374992,64,66347
5972,tt1375742,69,50
5973,tt1381407,66,149
5974,tt1381773,64,48
5975,tt1384925,51,690
5976,tt1395025,52,6613
5977,tt1395065,52,139
5978,tt1398428,47,5336
5979,tt1403144,61,2317
5980,tt1408089,66,123
5981,tt1415894,63,45
5982,tt1432161,70,12
5983,tt1433817,69,362
5984,tt1433910,69,187
5985,tt1436572,56,2227
5986,tt1440732,54,17055
5987,tt1442505,55,27
5988,tt1442571,64,7100
5989,tt1444252,37,987
5990,tt1445207,83,9
5991,tt1455807,56,155
5992,tt1469273,75,163
5993,tt1470023,55,39782
5994,tt1475205,62,10
5995,tt1477109,61,5565
5996,tt1477171,68,846
5997,tt1478835,48,19
5998,tt1481572,68,28327
5999,tt1482161,71,118
6000,tt1483753,70,3864
6001,tt1488555,63,155374
6002,tt1498754,84,17
6003,tt1502948,68,99
6004,tt1504403,52,8973
6005,tt1507564,53,479
6006,tt1509788,42,2024
6007,tt1513927,51,58
6008,tt1517160,67,336
6009,tt1517248,68,637
6010,tt1517474,56,172
6011,tt1518328,82,12
6012,tt1520399,34,227
6013,tt1521660,77,7
6014,tt1522812,71,23
6015,tt1523291,77,11
6016,tt1523498,62,604
6017,tt1524128,40,5
6018,tt1524131,53,2283
6019,tt1525916,66,113
6020,tt1529564,42,503
6021,tt1531631,72,62
6022,tt1532502,83,6
6023,tt1533058,45,2310
6024,tt1537364,77,23
6025,tt1540005,43,1398
6026,tt1540115,68,13
6027,tt1540400,55,2300
6028,tt1541943,79,40
6029,tt1543511,74,206
6030,tt1545099,76,10
6031,tt1545490,49,13
6032,tt1548001,51,10
6033,tt1549571,51,662
6034,tt1553689,62,20
6035,tt1556243,56,7012
6036,tt1557596,75,65
6037,tt1558985,50,5
6038,tt1563719,52,5881
6039,tt1567130,71,921
6040,tt1568815,67,1132
6041,tt1572194,38,1414
6042,tt1572506,26,191
6043,tt1576365,53,10
6044,tt1577040,49,473
6045,tt1582270,55,327
6046,tt1582465,63,1937
6047,tt1582539,56,34
6048,tt1583968,70,11
6049,tt1584918,44,35
6050,tt1584923,72,13
6051,tt1587278,65,342
6052,tt1587877,61,1873
6053,tt1588173,69,208709
6054,tt1589513,51,29
6055,tt1590092,58,15
6056,tt1592521,67,4135
6057,tt1593655,49,128
6058,tt1594917,34,4157
6059,tt1596776,61,16
6060,tt1597522,53,11965
6061,tt1599315,65,96
6062,tt1600518,81,12
6063,tt1600667,73,63
6064,tt1600846,83,9
6065,tt1600921,68,59
6066,tt1601215,42,399
6067,tt1604715,43,20
6068,tt1605751,38,186
6069,tt1606376,62,787
6070,tt1607607,48,9
6071,tt1608217,82,93
6072,tt1608334,63,932
6073,tt1609119,56,315
6074,tt1609986,68,5
6075,tt1611122,78,40
6076,tt1611174,74,27
6077,tt1613056,52,248
6078,tt1614943,82,87
6079,tt1615918,44,28158
6080,tt1618390,31,156
6081,tt1619277,54,1148
6082,tt1621019,43,111
6083,tt1621046,64,3025
6084,tt1621201,66,324
6085,tt1621445,69,12
6086,tt1622976,88,6
6087,tt1624417,85,17
6088,tt1625134,51,1644
6089,tt1625331,66,10
6090,tt1625562,52,154
6091,tt1627926,40,90
6092,tt1630564,44,2293
6093,tt1634540,84,5
6094,tt1635466,46,16
6095,tt1636458,47,6
6096,tt1638267,40,52
6097,tt1638321,56,33
6098,tt1644503,40,127
6099,tt1645089,83,65304
6100,tt1645769,73,21
6101,tt1645934,38,10
6102,tt1646973,54,7121
6103,tt1646980,59,26994
6104,tt1650062,70,320575
6105,tt1650554,66,238832
6106,tt1651916,54,74
6107,tt1653850,59,43
6108,tt1655581,75,6
6109,tt1655617,62,862
6110,tt1657299,62,10018
6111,tt1657458,59,12
6112,tt1657513,74,1369
6113,tt1658816,49,26
6114,tt1663321,70,8310
6115,tt1663631,40,494
6116,tt1663662,69,443667
6117,tt1666631,82,44
6118,tt1669779,43,70
6119,tt1670226,51,940
6120,tt1670916,61,53
6121,tt1672614,73,159
6122,tt1675758,39,857
6123,tt1676222,75,8
6124,tt1677609,57,7
6125,tt1679204,41,489
6126,tt1680111,66,32
6127,tt1682937,79,66
6128,tt1686015,79,8
6129,tt1686092,80,6
6130,tt1686125,52,44
6131,tt1686660,79,548
6132,tt1686768,68,1846
6133,tt1690539,81,70
6134,tt1690544,70,17
6135,tt1692227,54,715
6136,tt1699755,53,4452
6137,tt1701993,64,211
6138,tt1702405,60,8
6139,tt1702437,60,132
6140,tt1703147,43,95
6141,tt1711458,47,754
6142,tt1712578,57,3590
6143,tt1714893,77,144
6144,tt1715356,69,1644
6145,tt1715723,88,17
6146,tt1718117,57,11
6147,tt1718147,59,112
6148,tt1718800,54,157
6149,tt1718898,57,599
6150,tt1719590,88,5
6151,tt1719688,74,17
6152,tt1720114,69,1210
6153,tt1720172,45,1458
6154,tt1721692,34,38
6155,tt1722560,50,219
6156,tt1723129,30,218
6157,tt1723602,73,54
6158,tt1725014,53,55
6159,tt1725065,56,131
6160,tt1725895,70,19
6161,tt1727812,67,83
6162,tt1728130,64,842
6163,tt1728179,51,4075
6164,tt1728245,30,819
6165,tt1728655,67,80
6166,tt1728981,70,58
6167,tt1729517,92,13
6168,tt1729666,73,18
6169,tt1730209,77,18
6170,tt1730302,66,5
6171,tt1731755,67,373
6172,tt1734113,73,473
6173,tt1735868,62,8
6174,tt1741667,65,124
6175,tt1742190,71,318
6176,tt1742327,35,238
6177,tt1742336,67,24780
6178,tt1744857,56,344
6179,tt1746248,75,40
6180,tt1748199,64,62
6181,tt1753382,46,9
6182,tt1753449,64,106
6183,tt1753521,33,531
6184,tt1753653,58,22
6185,tt1753735,63,9
6186,tt1753834,71,68
6187,tt1754109,88,4583
6188,tt1754215,43,120
6189,tt1754241,64,13
6190,tt1754335,88,19
6191,tt1754506,42,1244
6192,tt1754711,38,13
6193,tt1754803,78,306
6194,tt1754902,49,62
6195,tt1757806,60,139
6196,tt1760945,71,14
6197,tt1762390,56,16
6198,tt1764191,50,76
6199,tt1764262,78,18
6200,tt1764691,37,218
6201,tt1768637,65,13
6202,tt1773015,75,4572
6203,tt1773315,62,63
6204,tt1773329,59,33
6205,tt1773629,80,63
6206,tt1773733,75,48
6207,tt1777037,67,15
6208,tt1780924,81,11
6209,tt1781769,66,84668
6210,tt1781944,50,35
6211,tt1782479,64,24
6212,tt1783306,76,8
6213,tt1783714,41,78
6214,tt1783781,44,347
6215,tt1785520,79,11
6216,tt1785635,48,10357
6217,tt1786497,17,796
6218,tt1787787,59,38
6219,tt1788981,84,7
6220,tt1789933,67,19
6221,tt1791606,94,5
6222,tt1792027,71,7
6223,tt1794922,69,19
6224,tt1794943,46,359
6225,tt1798291,66,846
6226,tt1800665,81,60
6227,tt1801063,40,816
6228,tt1806810,84,30
6229,tt1806844,71,7
6230,tt1807049,32,36
6231,tt1808221,31,200
6232,tt1808541,64,5
6233,tt1813338,50,37
6234,tt1813675,78,16
6235,tt1815673,65,198
6236,tt1815953,70,14
6237,tt1817682,81,11
6238,tt1817722,63,20
6239,tt1819597,59,16
6240,tt1820462,45,3375
6241,tt1820518,61,43
6242,tt1820556,77,20
6243,tt1820650,83,6
6244,tt1821321,50,67
6245,tt1821385,52,54
6246,tt1821617,40,757
6247,tt1821635,66,464
6248,tt1822279,60,194
6249,tt1822308,36,223
6250,tt1825678,60,34
6251,tt1825772,18,148
6252,tt1826664,80,27
6253,tt1826736,58,17
6254,tt1826763,56,21
6255,tt1826872,82,12
6256,tt1828194,38,182
6257,tt1830805,76,32
6258,tt1831613,88,5
6259,tt1832382,83,197684
6260,tt1832534,83,23
6261,tt1832949,74,5
6262,tt1833012,28,25
6263,tt1833112,57,39
6264,tt1833710,76,55
6265,tt1833734,50,5
6266,tt1833843,62,595
6267,tt1836076,56,38
6268,tt1836132,22,5
6269,tt1836883,73,645
6270,tt1840387,77,9
6271,tt1841598,88,8
6272,tt1841646,74,5
6273,tt1841701,60,24
6274,tt1841724,67,7
6275,tt1841762,73,783
6276,tt1843081,72,20
6277,tt1843335,80,1468
6278,tt1843957,18,118
6279,tt1844728,72,70
6280,tt1844786,66,8
6281,tt1845842,58,226
6282,tt1846492,74,2203
6283,tt1846783,70,294
6284,tt1847552,78,8
6285,tt1848771,62,4546
6286,tt1849052,70,58
6287,tt1849834,70,28
6288,tt1851871,44,455
6289,tt1854312,75,16
6290,tt1854531,87,32
6291,tt1855424,51,7
6292,tt1857819,69,756
6293,tt1859618,92,13
6294,tt1860242,70,44034
6295,tt1863256,64,5
6296,tt1863265,89,7
6297,tt1865371,73,9
6298,tt1866283,65,8
6299,tt1867091,54,1072
6300,tt1867515,74,38
6301,tt1867643,65,13
6302,tt1869296,56,2530
6303,tt1869297,64,8
6304,tt1869309,60,807
6305,tt1869514,54,252
6306,tt1870577,74,9
6307,tt1870579,72,17
6308,tt1874583,82,16
6309,tt1874601,78,75
6310,tt1874742,67,9
6311,tt1877803,58,144
6312,tt1877832,80,620079
6313,tt1878969,52,14
6314,tt1879066,57,180
